행정코드,시도,행정구역,5세별,성별,연월,value
11110,서울특별시,종로구,90 - 94세,여자인구수[명],'12.12월,356
11110,서울특별시,종로구,95 - 99세,남자인구수[명],'12.12월,54
11110,서울특별시,종로구,95 - 99세,여자인구수[명],'12.12월,116
11110,서울특별시,종로구,100+,남자인구수[명],'12.12월,51
11110,서울특별시,종로구,100+,여자인구수[명],'12.12월,105
11140,서울특별시,중구,0 - 4세,남자인구수[명],'12.12월,2528
11140,서울특별시,중구,0 - 4세,여자인구수[명],'12.12월,2491
11140,서울특별시,중구,5 - 9세,남자인구수[명],'12.12월,2187
11140,서울특별시,중구,5 - 9세,여자인구수[명],'12.12월,2194
11140,서울특별시,중구,10 - 14세,남자인구수[명],'12.12월,2546
11140,서울특별시,중구,10 - 14세,여자인구수[명],'12.12월,2398
11140,서울특별시,중구,15 - 19세,남자인구수[명],'12.12월,3445
11140,서울특별시,중구,15 - 19세,여자인구수[명],'12.12월,3192
11140,서울특별시,중구,20 - 24세,남자인구수[명],'12.12월,4353
11140,서울특별시,중구,20 - 24세,여자인구수[명],'12.12월,4187
11140,서울특별시,중구,25 - 29세,남자인구수[명],'12.12월,5340
11140,서울특별시,중구,25 - 29세,여자인구수[명],'12.12월,4971
11140,서울특별시,중구,30 - 34세,남자인구수[명],'12.12월,6287
11140,서울특별시,중구,30 - 34세,여자인구수[명],'12.12월,5966
11140,서울특별시,중구,35 - 39세,남자인구수[명],'12.12월,5718
11140,서울특별시,중구,35 - 39세,여자인구수[명],'12.12월,5206
11140,서울특별시,중구,40 - 44세,남자인구수[명],'12.12월,6333
11140,서울특별시,중구,40 - 44세,여자인구수[명],'12.12월,5508
11140,서울특별시,중구,45 - 49세,남자인구수[명],'12.12월,5442
11140,서울특별시,중구,45 - 49세,여자인구수[명],'12.12월,4966
11140,서울특별시,중구,50 - 54세,남자인구수[명],'12.12월,6100
11140,서울특별시,중구,50 - 54세,여자인구수[명],'12.12월,5685
11140,서울특별시,중구,55 - 59세,남자인구수[명],'12.12월,5146
11140,서울특별시,중구,55 - 59세,여자인구수[명],'12.12월,4985
11140,서울특별시,중구,60 - 64세,남자인구수[명],'12.12월,3684
11140,서울특별시,중구,60 - 64세,여자인구수[명],'12.12월,3812
11140,서울특별시,중구,65 - 69세,남자인구수[명],'12.12월,2883
11140,서울특별시,중구,65 - 69세,여자인구수[명],'12.12월,3347
11140,서울특별시,중구,70 - 74세,남자인구수[명],'12.12월,2538
11140,서울특별시,중구,70 - 74세,여자인구수[명],'12.12월,2985
11140,서울특별시,중구,75 - 79세,남자인구수[명],'12.12월,1351
11140,서울특별시,중구,75 - 79세,여자인구수[명],'12.12월,2081
11140,서울특별시,중구,80 - 84세,남자인구수[명],'12.12월,674
11140,서울특별시,중구,80 - 84세,여자인구수[명],'12.12월,1271
11140,서울특별시,중구,85 - 89세,남자인구수[명],'12.12월,285
11140,서울특별시,중구,85 - 89세,여자인구수[명],'12.12월,653
11140,서울특별시,중구,90 - 94세,남자인구수[명],'12.12월,126
11140,서울특별시,중구,90 - 94세,여자인구수[명],'12.12월,255
11140,서울특별시,중구,95 - 99세,남자인구수[명],'12.12월,47
11140,서울특별시,중구,95 - 99세,여자인구수[명],'12.12월,89
11140,서울특별시,중구,100+,남자인구수[명],'12.12월,30
11140,서울특별시,중구,100+,여자인구수[명],'12.12월,75
11170,서울특별시,용산구,0 - 4세,남자인구수[명],'12.12월,4987
11170,서울특별시,용산구,0 - 4세,여자인구수[명],'12.12월,4812
11170,서울특별시,용산구,5 - 9세,남자인구수[명],'12.12월,4566
11170,서울특별시,용산구,5 - 9세,여자인구수[명],'12.12월,4432
11170,서울특별시,용산구,10 - 14세,남자인구수[명],'12.12월,5470
11170,서울특별시,용산구,10 - 14세,여자인구수[명],'12.12월,5070
11170,서울특별시,용산구,15 - 19세,남자인구수[명],'12.12월,6601
11170,서울특별시,용산구,15 - 19세,여자인구수[명],'12.12월,5916
11170,서울특별시,용산구,20 - 24세,남자인구수[명],'12.12월,7169
11170,서울특별시,용산구,20 - 24세,여자인구수[명],'12.12월,7386
11170,서울특별시,용산구,25 - 29세,남자인구수[명],'12.12월,8961
11170,서울특별시,용산구,25 - 29세,여자인구수[명],'12.12월,9492
11170,서울특별시,용산구,30 - 34세,남자인구수[명],'12.12월,11571
11170,서울특별시,용산구,30 - 34세,여자인구수[명],'12.12월,11724
11170,서울특별시,용산구,35 - 39세,남자인구수[명],'12.12월,10668
11170,서울특별시,용산구,35 - 39세,여자인구수[명],'12.12월,10546
