시도,행정구역,산업대,2019 년,2020 년
서울특별시,도봉구,M.전문기술,257,226
서울특별시,도봉구,N.사업시설,134,123
서울특별시,도봉구,P.교육,495,389
서울특별시,도봉구,Q.보건복지,804,782
서울특별시,도봉구,R.예술스포츠,269,153
서울특별시,도봉구,S.협회단체,734,596
서울특별시,노원구,전체,11327,9513
서울특별시,노원구,A.농림어업,1,1
서울특별시,노원구,B.광업,0,0
서울특별시,노원구,C.제조업,484,417
서울특별시,노원구,D.전기가스,5,5
서울특별시,노원구,E.수도하수,17,13
서울특별시,노원구,F.건설업,352,296
서울특별시,노원구,G.도소매업,2586,2061
서울특별시,노원구,H.운수창고,146,118
서울특별시,노원구,I.숙박음식,2346,1851
서울특별시,노원구,J.정보통신,114,125
서울특별시,노원구,K.금융보험,212,191
서울특별시,노원구,L.부동산업,592,577
서울특별시,노원구,M.전문기술,337,319
서울특별시,노원구,N.사업시설,212,171
서울특별시,노원구,P.교육,1088,876
서울특별시,노원구,Q.보건복지,1410,1375
서울특별시,노원구,R.예술스포츠,462,291
서울특별시,노원구,S.협회단체,963,826
서울특별시,은평구,전체,9889,8245
서울특별시,은평구,A.농림어업,0,0
서울특별시,은평구,B.광업,0,0
서울특별시,은평구,C.제조업,455,358
서울특별시,은평구,D.전기가스,4,4
서울특별시,은평구,E.수도하수,11,12
서울특별시,은평구,F.건설업,432,340
서울특별시,은평구,G.도소매업,2212,1840
서울특별시,은평구,H.운수창고,114,93
서울특별시,은평구,I.숙박음식,2213,1641
서울특별시,은평구,J.정보통신,100,109
서울특별시,은평구,K.금융보험,142,138
서울특별시,은평구,L.부동산업,536,467
서울특별시,은평구,M.전문기술,266,251
서울특별시,은평구,N.사업시설,159,137
서울특별시,은평구,P.교육,735,652
서울특별시,은평구,Q.보건복지,1158,1157
서울특별시,은평구,R.예술스포츠,330,215
서울특별시,은평구,S.협회단체,1022,831
서울특별시,서대문구,전체,9135,7851
서울특별시,서대문구,A.농림어업,1,0
서울특별시,서대문구,B.광업,0,0
서울특별시,서대문구,C.제조업,349,324
서울특별시,서대문구,D.전기가스,3,2
서울특별시,서대문구,E.수도하수,9,10
서울특별시,서대문구,F.건설업,337,237
서울특별시,서대문구,G.도소매업,1782,1561
서울특별시,서대문구,H.운수창고,135,118
서울특별시,서대문구,I.숙박음식,2412,1789
서울특별시,서대문구,J.정보통신,291,312
서울특별시,서대문구,K.금융보험,171,165
서울특별시,서대문구,L.부동산업,438,409
서울특별시,서대문구,M.전문기술,428,415
서울특별시,서대문구,N.사업시설,306,250
서울특별시,서대문구,P.교육,613,560
서울특별시,서대문구,Q.보건복지,721,733
서울특별시,서대문구,R.예술스포츠,280,209
서울특별시,서대문구,S.협회단체,859,757
서울특별시,마포구,전체,22993,20577
서울특별시,마포구,A.농림어업,0,1
서울특별시,마포구,B.광업,0,0
서울특별시,마포구,C.제조업,772,656
서울특별시,마포구,D.전기가스,10,10
서울특별시,마포구,E.수도하수,15,19
서울특별시,마포구,F.건설업,771,687
서울특별시,마포구,G.도소매업,4757,4402
서울특별시,마포구,H.운수창고,657,639
서울특별시,마포구,I.숙박음식,5616,4132
서울특별시,마포구,J.정보통신,1827,1946
서울특별시,마포구,K.금융보험,450,456
서울특별시,마포구,L.부동산업,1006,993
서울특별시,마포구,M.전문기술,2003,2073
서울특별시,마포구,N.사업시설,889,823
서울특별시,마포구,P.교육,1087,1009
서울특별시,마포구,Q.보건복지,1151,1145
서울특별시,마포구,R.예술스포츠,578,466
서울특별시,마포구,S.협회단체,1404,1120
서울특별시,양천구,전체,12143,10196
서울특별시,양천구,A.농림어업,0,1
서울특별시,양천구,B.광업,0,0
서울특별시,양천구,C.제조업,626,555
서울특별시,양천구,D.전기가스,2,2
서울특별시,양천구,E.수도하수,18,20
서울특별시,양천구,F.건설업,708,462
서울특별시,양천구,G.도소매업,2724,2224
서울특별시,양천구,H.운수창고,356,331
서울특별시,양천구,I.숙박음식,2070,1531
서울특별시,양천구,J.정보통신,212,204
서울특별시,양천구,K.금융보험,177,167
서울특별시,양천구,L.부동산업,568,532
서울특별시,양천구,M.전문기술,550,530
서울특별시,양천구,N.사업시설,260,222
서울특별시,양천구,P.교육,1226,1141
서울특별시,양천구,Q.보건복지,1181,1151
서울특별시,양천구,R.예술스포츠,449,272
서울특별시,양천구,S.협회단체,1016,851
서울특별시,강서구,전체,20903,19256
서울특별시,강서구,A.농림어업,0,0
서울특별시,강서구,B.광업,1,0
서울특별시,강서구,C.제조업,801,784
서울특별시,강서구,D.전기가스,8,12
서울특별시,강서구,E.수도하수,35,34
서울특별시,강서구,F.건설업,1008,933
서울특별시,강서구,G.도소매업,5596,5251
서울특별시,강서구,H.운수창고,1009,1015
서울특별시,강서구,I.숙박음식,3736,2905
서울특별시,강서구,J.정보통신,734,860
서울특별시,강서구,K.금융보험,337,332
서울특별시,강서구,L.부동산업,1198,1098
서울특별시,강서구,M.전문기술,1086,1242
서울특별시,강서구,N.사업시설,636,610
서울특별시,강서구,P.교육,1007,919
서울특별시,강서구,Q.보건복지,1594,1564
서울특별시,강서구,R.예술스포츠,592,426
서울특별시,강서구,S.협회단체,1525,1271
서울특별시,구로구,전체,21205,19721
서울특별시,구로구,A.농림어업,1,2
서울특별시,구로구,B.광업,1,0
서울특별시,구로구,C.제조업,2282,2099
서울특별시,구로구,D.전기가스,7,4
서울특별시,구로구,E.수도하수,16,18
서울특별시,구로구,F.건설업,854,736
서울특별시,구로구,G.도소매업,6932,6764
서울특별시,구로구,H.운수창고,270,224
서울특별시,구로구,I.숙박음식,2515,1967
서울특별시,구로구,J.정보통신,1907,1874
서울특별시,구로구,K.금융보험,434,387
서울특별시,구로구,L.부동산업,812,855
서울특별시,구로구,M.전문기술,1308,1365
서울특별시,구로구,N.사업시설,604,549
서울특별시,구로구,P.교육,742,619
서울특별시,구로구,Q.보건복지,1108,1113
서울특별시,구로구,R.예술스포츠,440,293
서울특별시,구로구,S.협회단체,972,852
서울특별시,금천구,전체,21803,20958
서울특별시,금천구,A.농림어업,0,1
서울특별시,금천구,B.광업,0,0
서울특별시,금천구,C.제조업,4147,3983
서울특별시,금천구,D.전기가스,6,4
서울특별시,금천구,E.수도하수,21,19
서울특별시,금천구,F.건설업,975,869
서울특별시,금천구,G.도소매업,6053,5870
서울특별시,금천구,H.운수창고,407,362
서울특별시,금천구,I.숙박음식,1898,1470
서울특별시,금천구,J.정보통신,2539,2702
서울특별시,금천구,K.금융보험,226,226
서울특별시,금천구,L.부동산업,647,661
서울특별시,금천구,M.전문기술,2097,2196
서울특별시,금천구,N.사업시설,637,623
서울특별시,금천구,P.교육,417,370
서울특별시,금천구,Q.보건복지,687,686
서울특별시,금천구,R.예술스포츠,225,160
서울특별시,금천구,S.협회단체,821,756
서울특별시,영등포구,전체,24633,22954
서울특별시,영등포구,A.농림어업,0,0
서울특별시,영등포구,B.광업,2,2
서울특별시,영등포구,C.제조업,1898,1699
서울특별시,영등포구,D.전기가스,11,13
서울특별시,영등포구,E.수도하수,22,20
서울특별시,영등포구,F.건설업,1015,897
서울특별시,영등포구,G.도소매업,6367,5906
서울특별시,영등포구,H.운수창고,528,497
서울특별시,영등포구,I.숙박음식,4478,3542
서울특별시,영등포구,J.정보통신,1358,1474
서울특별시,영등포구,K.금융보험,1224,1447
서울특별시,영등포구,L.부동산업,1120,1104
서울특별시,영등포구,M.전문기술,2030,2176
서울특별시,영등포구,N.사업시설,888,827
서울특별시,영등포구,P.교육,668,667
서울특별시,영등포구,Q.보건복지,1159,1184
서울특별시,영등포구,R.예술스포츠,512,346
서울특별시,영등포구,S.협회단체,1353,1153
서울특별시,동작구,전체,9466,7994
서울특별시,동작구,A.농림어업,0,1
서울특별시,동작구,B.광업,0,0
서울특별시,동작구,C.제조업,273,236
서울특별시,동작구,D.전기가스,2,2
서울특별시,동작구,E.수도하수,11,13
