행정코드,시도,행정구역,연월,value
48127,경상남도,마산회원구,'16.12월,210791
48129,경상남도,진해구,'16.12월,187313
48170,경상남도,진주시,'16.12월,346739
48220,경상남도,통영시,'16.12월,138160
48240,경상남도,사천시,'16.12월,114912
48250,경상남도,김해시,'16.12월,529422
48270,경상남도,밀양시,'16.12월,108354
48310,경상남도,거제시,'16.12월,257183
48330,경상남도,양산시,'16.12월,317037
48720,경상남도,의령군,'16.12월,28111
48730,경상남도,함안군,'16.12월,68937
48740,경상남도,창녕군,'16.12월,63982
48820,경상남도,고성군,'16.12월,54703
48840,경상남도,남해군,'16.12월,45129
48850,경상남도,하동군,'16.12월,49622
48860,경상남도,산청군,'16.12월,36098
48870,경상남도,함양군,'16.12월,40241
48880,경상남도,거창군,'16.12월,63308
48890,경상남도,합천군,'16.12월,48026
50,제주특별자치도,전체,'16.12월,641597
50110,제주특별자치도,제주시,'16.12월,470665
50130,제주특별자치도,서귀포시,'16.12월,170932
0,전국,전체,'17.12월,51778544
11,서울특별시,전체,'17.12월,9857426
11110,서울특별시,종로구,'17.12월,154770
11140,서울특별시,중구,'17.12월,125709
11170,서울특별시,용산구,'17.12월,229161
11200,서울특별시,성동구,'17.12월,304808
11215,서울특별시,광진구,'17.12월,357703
11230,서울특별시,동대문구,'17.12월,350647
11260,서울특별시,중랑구,'17.12월,408226
11290,서울특별시,성북구,'17.12월,444055
11305,서울특별시,강북구,'17.12월,324479
11320,서울특별시,도봉구,'17.12월,344166
11350,서울특별시,노원구,'17.12월,554403
11380,서울특별시,은평구,'17.12월,486794
11410,서울특별시,서대문구,'17.12월,312800
11440,서울특별시,마포구,'17.12월,374915
11470,서울특별시,양천구,'17.12월,471154
11500,서울특별시,강서구,'17.12월,601691
11530,서울특별시,구로구,'17.12월,410742
11545,서울특별시,금천구,'17.12월,235154
11560,서울특별시,영등포구,'17.12월,368550
11590,서울특별시,동작구,'17.12월,396217
11620,서울특별시,관악구,'17.12월,503297
11650,서울특별시,서초구,'17.12월,441102
11680,서울특별시,강남구,'17.12월,556164
11710,서울특별시,송파구,'17.12월,664496
11740,서울특별시,강동구,'17.12월,436223
26,부산광역시,전체,'17.12월,3470653
26110,부산광역시,중구,'17.12월,44218
26140,부산광역시,서구,'17.12월,110039
26170,부산광역시,동구,'17.12월,88868
26200,부산광역시,영도구,'17.12월,123521
26230,부산광역시,부산진구,'17.12월,371703
26260,부산광역시,동래구,'17.12월,270727
26290,부산광역시,남구,'17.12월,273854
26320,부산광역시,북구,'17.12월,302924
26350,부산광역시,해운대구,'17.12월,412039
26380,부산광역시,사하구,'17.12월,333301
26410,부산광역시,금정구,'17.12월,244469
26440,부산광역시,강서구,'17.12월,117382
26470,부산광역시,연제구,'17.12월,206742
26500,부산광역시,수영구,'17.12월,179996
26530,부산광역시,사상구,'17.12월,229219
26710,부산광역시,기장군,'17.12월,161651
27,대구광역시,전체,'17.12월,2475231
27110,대구광역시,중구,'17.12월,78986
27140,대구광역시,동구,'17.12월,349379
27170,대구광역시,서구,'17.12월,191992
27200,대구광역시,남구,'17.12월,152845
27230,대구광역시,북구,'17.12월,441375
27260,대구광역시,수성구,'17.12월,439211
27290,대구광역시,달서구,'17.12월,578068
27710,대구광역시,달성군,'17.12월,243375
28,인천광역시,전체,'17.12월,2948542
28110,인천광역시,중구,'17.12월,117999
28140,인천광역시,동구,'17.12월,69487
28170,인천광역시,미추홀구,'17.12월,419267
28185,인천광역시,연수구,'17.12월,335142
28200,인천광역시,남동구,'17.12월,536578
28237,인천광역시,부평구,'17.12월,539941
28245,인천광역시,계양구,'17.12월,323784
28260,인천광역시,서구,'17.12월,516017
28710,인천광역시,강화군,'17.12월,68754
28720,인천광역시,옹진군,'17.12월,21573
29,광주광역시,전체,'17.12월,1463770
29110,광주광역시,동구,'17.12월,95448
29140,광주광역시,서구,'17.12월,306957
29155,광주광역시,남구,'17.12월,218454
29170,광주광역시,북구,'17.12월,438780
29200,광주광역시,광산구,'17.12월,404131
30,대전광역시,전체,'17.12월,1502227
30110,대전광역시,동구,'17.12월,230516
30140,대전광역시,중구,'17.12월,248933
30170,대전광역시,서구,'17.12월,487448
30200,대전광역시,유성구,'17.12월,348428
30230,대전광역시,대덕구,'17.12월,186902
31,울산광역시,전체,'17.12월,1165132
31110,울산광역시,중구,'17.12월,238652
31140,울산광역시,남구,'17.12월,335439
31170,울산광역시,동구,'17.12월,169605
31200,울산광역시,북구,'17.12월,200718
31710,울산광역시,울주군,'17.12월,220718
36,세종특별자치시,전체,'17.12월,280100
41,경기도,전체,'17.12월,12873895
41110,경기도,수원시,'17.12월,1202628
41111,경기도,장안구,'17.12월,293828
41113,경기도,권선구,'17.12월,365653
41115,경기도,팔달구,'17.12월,193311
41117,경기도,영통구,'17.12월,349836
41130,경기도,성남시,'17.12월,967510
41131,경기도,수정구,'17.12월,236932
41133,경기도,중원구,'17.12월,230366
41135,경기도,분당구,'17.12월,500212
41150,경기도,의정부시,'17.12월,441584
41170,경기도,안양시,'17.12월,587764
41171,경기도,만안구,'17.12월,254977
41173,경기도,동안구,'17.12월,332787
41190,경기도,부천시,'17.12월,850329
41210,경기도,광명시,'17.12월,332790
41220,경기도,평택시,'17.12월,481530
41250,경기도,동두천시,'17.12월,97071
41270,경기도,안산시,'17.12월,677710
41271,경기도,상록구,'17.12월,370744
41273,경기도,단원구,'17.12월,306966
41280,경기도,고양시,'17.12월,1041983
41281,경기도,덕양구,'17.12월,448684
41285,경기도,일산동구,'17.12월,293673
41287,경기도,일산서구,'17.12월,299626
41290,경기도,과천시,'17.12월,57527
41310,경기도,구리시,'17.12월,200042
41360,경기도,남양주시,'17.12월,665321
41370,경기도,오산시,'17.12월,213437
41390,경기도,시흥시,'17.12월,419664
41410,경기도,군포시,'17.12월,281205
41430,경기도,의왕시,'17.12월,155767
41450,경기도,하남시,'17.12월,232487
41460,경기도,용인시,'17.12월,1004081
41461,경기도,처인구,'17.12월,231553
41463,경기도,기흥구,'17.12월,419429
41465,경기도,수지구,'17.12월,353099
41480,경기도,파주시,'17.12월,437848
41500,경기도,이천시,'17.12월,213142
41550,경기도,안성시,'17.12월,182786
41570,경기도,김포시,'17.12월,392092
41590,경기도,화성시,'17.12월,691086
41610,경기도,광주시,'17.12월,345947
41630,경기도,양주시,'17.12월,212146
41650,경기도,포천시,'17.12월,152925
41670,경기도,여주시,'17.12월,111984
41800,경기도,연천군,'17.12월,45431
41820,경기도,가평군,'17.12월,62973
41830,경기도,양평군,'17.12월,115105
42,강원도,전체,'17.12월,1550142
42110,강원도,춘천시,'17.12월,280514
42130,강원도,원주시,'17.12월,341337
42150,강원도,강릉시,'17.12월,213952
42170,강원도,동해시,'17.12월,92851
42190,강원도,태백시,'17.12월,45888
42210,강원도,속초시,'17.12월,82273
42230,강원도,삼척시,'17.12월,68514
42720,강원도,홍천군,'17.12월,70340
42730,강원도,횡성군,'17.12월,46281
42750,강원도,영월군,'17.12월,40067
42760,강원도,평창군,'17.12월,43092
42770,강원도,정선군,'17.12월,38173
42780,강원도,철원군,'17.12월,47185
42790,강원도,화천군,'17.12월,26022
42800,강원도,양구군,'17.12월,23835
42810,강원도,인제군,'17.12월,32582
42820,강원도,고성군,'17.12월,30029
42830,강원도,양양군,'17.12월,27207
43,충청북도,전체,'17.12월,1594432
43110,충청북도,청주시,'17.12월,835590
43111,충청북도,상당구,'17.12월,171129
